,Minimization,optim,Optimizer,training_accuracy,Validation accuracy,training_loss,val_loss,Generalization gap,epoch,Sharpness,Architecture
46,SAM,AdaBound,AdaBound,99.59833526611328,94.20999908447266,0.009416897909957539,0.2587807267904282,5.388336181640625,converged,33084.35223346137,MiddleBatch
47,SAM,Adagrad,Adagrad,99.63500213623047,93.89999389648438,0.009616611539130546,0.2802954360842705,5.735008239746094,converged,33672.10403318422,MiddleBatch
48,standard,Adam,Adam,99.75,92.68000030517578,0.006763755834213635,0.509483253955841,7.069999694824219,converged,77263.11392191272,MiddleBatch
49,standard,Adagrad,Adagrad,99.72000122070312,92.55999755859375,0.00993191727922598,0.36365988552570344,7.160003662109375,converged,371136.6014366938,MiddleBatch
50,standard,AdaShift,AdaShift,99.72000122070312,92.30999755859375,0.008438801967930709,0.4399442315101624,7.410003662109375,converged,356707.22265335487,MiddleBatch
51,SAM,SGD 0.1,SGD,99.62667083740234,94.18999481201172,0.00984820055088767,0.2651982128620148,5.436676025390625,converged,15102.691212887583,MiddleBatch
52,standard,PHB 0.1 0.8,PHB,99.75666809082031,92.86000061035156,0.007192459765111537,0.3642204374074936,6.89666748046875,converged,172643.39412726098,MiddleBatch
53,SAM,AdaShift,AdaShift,99.65499877929688,93.8699951171875,0.009181815316341619,0.2742646798491478,5.785003662109375,converged,17429.5980422126,MiddleBatch
54,standard,AdaBound,AdaBound,99.73833465576172,93.22000122070312,0.00853707716007643,0.4052731662988663,6.518333435058594,converged,100595.31494287566,MiddleBatch
55,SAM,PHB 0.01 0.8,PHB,99.64167022705078,94.29999542236328,0.009625436125401614,0.2624001637101173,5.3416748046875,converged,18701.094968066864,MiddleBatch
0,standard,SGD 0.1,SGD,100.0,93.91999816894531,9.501912778390904e-06,0.47179916203022004,6.0800018310546875,50.0,44098.92050404294,ComplexBatch
1,SAM,SGD 0.1,SGD,99.65333557128906,94.33999633789062,0.00882694892573363,0.26467882841825485,5.3133392333984375,50.0,8719.45070321084,ComplexBatch
2,standard,Adam,Adam,99.82833099365234,93.5199966430664,0.005433717675131697,0.45319550335407255,6.3083343505859375,50.0,41376.090929501406,ComplexBatch
3,standard,Adagrad,Adagrad,99.94166564941406,92.05999755859375,0.002154059735597202,0.5689177989959717,7.8816680908203125,50.0,957560.8663286569,ComplexBatch
4,standard,AdaBound,AdaBound,100.0,93.81999969482422,1.3462440016962312e-05,0.5026099145412445,6.180000305175781,50.0,146948.94681655592,ComplexBatch
5,SAM,Adam,Adam,99.67666625976562,93.88999938964844,0.008694252624774157,0.33647136986255644,5.7866668701171875,50.0,14122.333857543572,ComplexBatch
6,standard,PHB 0.1 0.8,PHB,100.0,93.8499984741211,1.3961900748730074e-05,0.3998891800642014,6.150001525878906,50.0,260538.13362906183,ComplexBatch
7,SAM,AdaShift 0.01,AdaShift,99.71333312988281,93.8699951171875,0.00766296199542646,0.34402636587619784,5.8433380126953125,50.0,22357.040804444212,ComplexBatch
8,standard,AdaShift 0.01,AdaShift,99.82333374023438,93.29000091552734,0.005454895229850314,0.5278650730848312,6.533332824707031,50.0,35866.21736992598,ComplexBatch
9,standard,SGD 0.1,SGD,100.0,94.00999450683594,2.63147825056404e-06,0.4998606503009796,5.9900054931640625,100.0,149646.96836623293,ComplexBatch
10,SAM,SGD 0.1,SGD,99.90499877929688,94.54999542236328,0.0023951413477838624,0.34777997732162474,5.355003356933594,100.0,24968.914956882625,ComplexBatch
11,standard,Adam,Adam,99.87333679199219,93.69999694824219,0.00480800618195718,0.4788790881633759,6.17333984375,100.0,27750.875968242282,ComplexBatch
12,standard,Adagrad,Adagrad,100.0,92.72000122070312,3.921227208915247e-05,0.5951443940401078,7.279998779296875,100.0,1146959.1029215376,ComplexBatch
13,standard,AdaBound,AdaBound,100.0,93.90999603271484,6.385655471510886e-06,0.5517116248607635,6.090003967285156,100.0,170445.78010825117,ComplexBatch
14,SAM,Adam,Adam,99.91666412353516,93.72999572753906,0.003083279002203635,0.46038671433925626,6.186668395996094,100.0,18941.761010936385,ComplexBatch
15,SAM,AdaBound,AdaBound,99.87166595458984,94.18999481201172,0.0031065638385388583,0.36281760036945343,5.681671142578125,100.0,41442.097822059965,ComplexBatch
16,SAM,Adagrad,Adagrad,99.81500244140625,93.88999938964844,0.004433391124582482,0.3153567060828209,5.9250030517578125,100.0,37402.483013730285,ComplexBatch
17,standard,PHB 0.1 0.8,PHB,100.0,93.86000061035156,6.794816030143924e-06,0.4317435175180435,6.1399993896484375,100.0,288386.86978706875,ComplexBatch
18,SAM,AdaShift 0.01,AdaShift,99.76333618164062,93.73999786376953,0.006201717747325228,0.43983130156993866,6.023338317871094,100.0,22810.66903981006,ComplexBatch
19,standard,AdaShift 0.01,AdaShift,99.9433364868164,93.25,0.001668613187352637,0.6081076711416245,6.693336486816406,100.0,31780.90302447015,ComplexBatch
20,SAM,PHB 0.01 0.8,PHB,99.83000183105469,94.64999389648438,0.00433944929527822,0.3106274202466011,5.1800079345703125,100.0,11146.725519303003,ComplexBatch
21,standard,SGD 0.1,SGD,100.0,93.94999694824219,1.656189573953276e-06,0.5155520766973496,6.0500030517578125,150.0,155714.33118484257,ComplexBatch
22,SAM,SGD 0.1,SGD,99.93167114257812,94.57999420166016,0.0017600794829926063,0.41363641023635866,5.351676940917969,150.0,31154.40106256838,ComplexBatch
23,standard,Adam,Adam,99.87333679199219,93.36000061035156,0.0035891907097666534,0.5254343688488007,6.513336181640625,150.0,29078.533185038435,ComplexBatch
24,standard,Adagrad,Adagrad,99.99166870117188,92.66999816894531,0.0005874195790764363,0.5472931623458862,7.3216705322265625,150.0,1097063.4185336574,ComplexBatch
25,standard,AdaBound,AdaBound,100.0,93.88999938964844,2.9886184203021997e-06,0.5709573298692703,6.1100006103515625,150.0,176825.84615779648,ComplexBatch
26,SAM,Adam,Adam,99.86833190917969,93.61000061035156,0.003647623781702661,0.5288245677947998,6.258331298828125,150.0,12720.203362410528,ComplexBatch
27,SAM,AdaBound,AdaBound,99.9433364868164,94.45999908447266,0.0013903066440556658,0.44058079421520235,5.48333740234375,150.0,57060.72524652625,ComplexBatch
28,SAM,Adagrad,Adagrad,99.94667053222656,93.95999908447266,0.0014552283325927396,0.36536880433559416,5.986671447753906,150.0,43849.392463341304,ComplexBatch
29,standard,PHB 0.1 0.8,PHB,99.91999816894531,93.50999450683594,0.003053713801819564,0.42902336418628695,6.410003662109375,150.0,309533.0966848963,ComplexBatch
30,SAM,AdaShift 0.01,AdaShift,99.91000366210938,93.81999969482422,0.0024585765636254493,0.5162874579429626,6.090003967285156,150.0,29213.874616479126,ComplexBatch
31,standard,AdaShift 0.01,AdaShift,99.94833374023438,93.1199951171875,0.0018071872422233722,0.6295898735523224,6.828338623046875,150.0,30650.895946990848,ComplexBatch
32,SAM,PHB 0.01 0.8,PHB,99.88500213623047,94.61000061035156,0.002732931900888339,0.3474471479654312,5.275001525878906,150.0,12760.96881861832,ComplexBatch
33,standard,SGD 0.1,SGD,100.0,94.04000091552734,1.0783891313856168e-06,0.5224235504865646,5.959999084472656,200.0,161642.98091006617,ComplexBatch
34,SAM,SGD 0.1,SGD,100.0,94.5199966430664,2.7149167590135624e-05,0.46467986702919006,5.480003356933594,200.0,35014.61819999255,ComplexBatch
35,standard,Adam,Adam,100.0,93.79000091552734,9.686332340112179e-07,0.6450105309486389,6.209999084472656,200.0,37627.437789960524,ComplexBatch
36,standard,Adagrad,Adagrad,100.0,92.86000061035156,3.570328691076516e-05,0.6187896460294724,7.1399993896484375,200.0,1259654.607912126,ComplexBatch
37,standard,AdaBound,AdaBound,100.0,93.86000061035156,1.7807960047132514e-06,0.5861246198415756,6.1399993896484375,200.0,181920.59606786666,ComplexBatch
38,SAM,Adam,Adam,99.95333099365234,93.61000061035156,0.001585726455776525,0.6094573140144348,6.343330383300781,200.0,20254.514984892576,ComplexBatch
39,SAM,AdaBound,AdaBound,100.0,94.40999603271484,2.6550143654064692e-05,0.5336329162120819,5.590003967285156,200.0,70804.73664602707,ComplexBatch
40,SAM,Adagrad,Adagrad,99.9383316040039,93.79999542236328,0.001602364768319382,0.4041983842849731,6.138336181640625,200.0,51273.87938846942,ComplexBatch
41,standard,PHB 0.1 0.8,PHB,100.0,93.72000122070312,7.037333083254842e-06,0.44419815838336946,6.279998779296875,200.0,288041.09328751074,ComplexBatch
42,SAM,AdaShift 0.01,AdaShift,10.0,10.0,,,0.0,200.0,,ComplexBatch
43,SAM,PHB 0.1 0.8,PHB,99.5433349609375,91.68999481201172,0.011214788437563815,0.5334514528512955,7.853340148925781,200.0,159921.77355515008,ComplexBatch
44,standard,AdaShift 0.01,AdaShift,99.86333465576172,92.98999786376953,0.004991640329727446,0.6336416840553284,6.8733367919921875,200.0,28494.824143302092,ComplexBatch
45,SAM,PHB 0.01 0.8,PHB,99.94833374023438,94.61000061035156,0.0016712180396565473,0.37585173845291137,5.3383331298828125,200.0,12544.838958117774,ComplexBatch
46,standard,SGD 0.1,SGD,99.7316665649414,92.87999725341797,0.0081901912882482,0.40685284733772276,6.8516693115234375,converged,107841.69793696102,ComplexBatch
47,SAM,SGD 0.1,SGD,99.6066665649414,94.54999542236328,0.009806435705392934,0.24623526483774186,5.056671142578125,converged,16376.533695365291,ComplexBatch
48,standard,Adam,Adam,99.70500183105469,93.57999420166016,0.008356105840307841,0.41143896281719206,6.125007629394531,converged,63556.643701032364,ComplexBatch
49,standard,Adagrad,Adagrad,99.70500183105469,91.97000122070312,0.009543390480164405,0.45331950187683107,7.7350006103515625,converged,723554.8521611799,ComplexBatch
50,standard,AdaBound,AdaBound,99.80999755859375,93.19999694824219,0.0057359675986657,0.4438192516565323,6.6100006103515625,converged,126051.76299096677,ComplexBatch
51,SAM,Adam,Adam,99.62833404541016,93.75,0.009738403986532565,0.3188925117254257,5.878334045410156,converged,13181.241019637433,ComplexBatch
52,SAM,AdaBound,AdaBound,99.62166595458984,94.04000091552734,0.009883777074665248,0.2748389899730682,5.5816650390625,converged,29327.38386445649,ComplexBatch
53,SAM,Adagrad,Adagrad,99.63999938964844,93.75,0.009859062248229314,0.27787960767745973,5.8899993896484375,converged,33816.79149857818,ComplexBatch
54,standard,PHB 0.1 0.8,PHB,99.74333190917969,93.11000061035156,0.008583340012729774,0.3315516263246536,6.633331298828125,converged,181372.58941248208,ComplexBatch
55,SAM,AdaShift 0.01,AdaShift,99.67333221435547,93.33999633789062,0.00865461078475166,0.36790972054004667,6.333335876464844,converged,22563.91622003349,ComplexBatch
56,standard,AdaShift 0.01,AdaShift,99.71833801269531,93.29999542236328,0.00886368758449674,0.43018701672554016,6.418342590332031,converged,37122.53620193143,ComplexBatch
57,SAM,PHB 0.01 0.8,PHB,99.625,94.5999984741211,0.00999978683610409,0.2526671886444092,5.025001525878906,converged,7344.651912237498,ComplexBatch
