,Minimization,optim,Optimizer,training_accuracy,Validation accuracy,training_loss,val_loss,Generalization gap,epoch,Sharpness,Architecture
40,standard,SGD 0.1,SGD,99.76200103759766,83.06999969482422,0.008237930404914356,0.9383315980434418,16.692001342773438,converged,31978.75027906665,MiddleBatch
41,standard,Adam,Adam,99.74800109863281,84.18000030517578,0.00944797776615567,2.160881280899048,15.568000793457031,converged,123790.95200502392,MiddleBatch
42,standard,Adagrad,Adagrad,99.93999481201172,80.25,0.009158527990088552,0.8289875984191895,19.68999481201172,converged,64098.20098055388,MiddleBatch
43,standard,AdaBound,AdaBound,99.75999450683594,83.90999603271484,0.007959444505681196,0.9977505505084991,15.849998474121094,converged,30690.580113123637,MiddleBatch
44,SAM,SGD 0.1,SGD,99.63999938964844,85.73999786376953,0.009984770590109545,0.6795858681201935,13.900001525878906,converged,9316.83236489052,MiddleBatch
45,SAM,PHB 0.1 0.8,PHB,99.67399597167969,85.88999938964844,0.009430256660294045,0.6421085238456726,13.78399658203125,converged,9496.526654040379,MiddleBatch
46,SAM,Adam,Adam,99.69400024414062,84.73999786376953,0.00852551572119912,1.0349026501178742,14.954002380371094,converged,15832.672944351305,MiddleBatch
47,SAM,AdaBound,AdaBound,99.66999816894531,84.62999725341797,0.009664437031897994,0.819926130771637,15.040000915527344,converged,9418.373182938763,MiddleBatch
48,SAM,Adagrad,Adagrad,99.73199462890625,81.20999908447266,0.008983338564036467,0.7619614362716675,18.521995544433594,converged,15135.083924137445,MiddleBatch
49,standard,PHB 0.1 0.8,PHB,99.73999786376953,82.40999603271484,0.009321925173307558,0.8696672737598419,17.330001831054688,converged,40227.35995757939,MiddleBatch
50,standard,AdaShift 0.01,AdaShift,99.68999481201172,83.0,0.009607369663779099,1.1193187177181243,16.68999481201172,converged,49095.573829388835,MiddleBatch
51,SAM,AdaShift 0.01,AdaShift,99.60399627685547,84.29000091552734,0.009981737279927459,0.8104998052120209,15.313995361328125,converged,12955.810098257187,MiddleBatch
0,standard,SGD 0.1,SGD,100.0,86.0199966430664,1.9364842758993996e-05,0.9446974873542786,13.980003356933594,50.0,53949.06878230858,ComplexBatch
1,standard,Adagrad,Adagrad,100.0,80.2699966430664,0.001422319656295721,1.0748654305934906,19.730003356933594,50.0,114695.73770647236,ComplexBatch
2,standard,AdaBound,AdaBound,100.0,86.19999694824219,1.9807087168457723e-05,1.0985267519950868,13.800003051757812,50.0,52750.47812804059,ComplexBatch
3,standard,AdaShift 0.01,AdaShift,99.63199615478516,84.31999969482422,0.01028723607729713,1.1513641834259034,15.311996459960938,50.0,64448.55739956963,ComplexBatch
4,standard,PHB 0.01 0.8,PHB,100.0,85.61000061035156,3.954716365468582e-05,0.8869155466556549,14.389999389648438,50.0,72900.84245208117,ComplexBatch
5,standard,SGD 0.1,SGD,100.0,86.06999969482422,9.131377318810285e-06,0.9811607301235199,13.930000305175781,100.0,59114.567989111914,ComplexBatch
6,standard,Adam,Adam,99.59199523925781,85.68999481201172,0.014836627135569692,1.434865701198578,13.902000427246094,100.0,96346.23290473456,ComplexBatch
7,standard,Adagrad,Adagrad,100.0,80.18000030517578,0.0003953930731710044,1.1559216320514678,19.81999969482422,100.0,134019.45060523436,ComplexBatch
8,SAM,SGD 0.1,SGD,99.72000122070312,87.0999984741211,0.007146906190732842,0.6956227600574494,12.620002746582031,100.0,11721.358386485246,ComplexBatch
9,SAM,AdaBound,AdaBound,99.70399475097656,86.5,0.007931774150414328,0.7574636816978455,13.203994750976562,100.0,10850.134750314255,ComplexBatch
10,SAM,Adam,Adam,99.6240005493164,86.77999877929688,0.011001935658247426,0.9706866323947907,12.844001770019531,100.0,14567.035781701896,ComplexBatch
11,standard,AdaBound,AdaBound,99.99800109863281,86.0,6.0928342519274686e-05,1.1403131246566773,13.998001098632812,100.0,55534.58275387971,ComplexBatch
12,standard,AdaShift 0.01,AdaShift,99.78199768066406,84.58999633789062,0.006736108269504959,1.3294834613800048,15.192001342773438,100.0,61815.06814372362,ComplexBatch
13,SAM,Adagrad,Adagrad,99.78799438476562,82.1500015258789,0.006573527224708463,0.7756883978843689,17.63799285888672,100.0,21303.482191928186,ComplexBatch
14,standard,PHB 0.01 0.8,PHB,100.0,85.72999572753906,1.2370315363588578e-05,0.9370059430599212,14.270004272460938,100.0,87870.69832885238,ComplexBatch
15,SAM,PHB 0.01 0.8,PHB,99.66399383544922,86.61000061035156,0.009275462383458265,0.5990988135337829,13.053993225097656,100.0,10991.878606956461,ComplexBatch
16,SAM,AdaShift 0.01,AdaShift,99.77799987792969,85.43999481201172,0.005485582563415867,0.9468842685222626,14.338005065917969,100.0,17975.542478259238,ComplexBatch
17,standard,SGD 0.1,SGD,100.0,86.06999969482422,5.097385207941361e-06,1.00071262717247,13.930000305175781,150.0,62580.55563818131,ComplexBatch
18,standard,Adam,Adam,99.80999755859375,86.1199951171875,0.006667286922578923,1.6112892627716064,13.69000244140625,150.0,96963.53496504966,ComplexBatch
19,standard,Adagrad,Adagrad,100.0,80.22999572753906,0.0003476242366296899,1.180385422706604,19.770004272460938,150.0,140959.97437149886,ComplexBatch
20,SAM,SGD 0.1,SGD,99.843994140625,87.27999877929688,0.0037587845053146324,0.7554681718349456,12.563995361328125,150.0,14985.21051003526,ComplexBatch
